source_row_number,text,expected_label,predicted_label,correct,confidence,positive_probability,neutral_probability,negative_probability,error_category
2,Saya sudah vaksin kedua tapi sertifikat vaksin saya tidak keluar. Saya cek di paspor digital juga tidak ada,negative,neutral,False,0.697321891784668,0.0027693803422152996,0.697321891784668,0.29990875720977783,mixed_signal
3,Tidak bisa cek sertivikat,negative,neutral,False,0.8851243257522583,0.0018282956443727016,0.8851243257522583,0.11304742842912674,other
11,Ok,neutral,positive,False,0.9517139792442322,0.9517139792442322,0.0350959450006485,0.01319002266973257,short_text
12,"Sudah buka paspor digital tetep aja gk muncul. Begitu dbuka, disuruh isi kelengkapan data berulang kali. Tetep aja gk muncul. Pdahal keterangnya sudah vaksin 2. Aplikasi gk sinkron. Disuruh email juga tidak ada Respon.",neutral,negative,False,0.9701725840568542,0.003342769341543317,0.026484647765755653,0.9701725840568542,long_text
13,"kenapa setelah saya instal - data - dan izinkan akses lokasi, tetiba tidak bisa lagi masuk ke dalam aplikasi??",neutral,negative,False,0.9826432466506958,0.002295921090990305,0.015060887672007084,0.9826432466506958,question_or_request
14,. Ini niat input data ga sih? Kita uda di vaksin tapi pas log in ga bisa🙏😌😌,neutral,negative,False,0.5616356730461121,0.0036980898585170507,0.4346662759780884,0.5616356730461121,mixed_signal
15,"Gimana sih saya sudah vaksin dua bulan yang lalu sertifikat masih belum keluar juga Pengaduan lewat email sudah saya coba tapi tidak ada tanggapan Lewat tlp sudah juga sama saja Terus saya harus mengadu sama siapa lagi,kecewa banget tau gitu ga usah vaksin sekalian",neutral,negative,False,0.9952390193939209,0.0028550331480801105,0.0019059537444263697,0.9952390193939209,mixed_signal
16,Kok sya gk muncul sertifikat'y cuma ada nama aku sma nik aku aja.gmana supaya bsa dapat sertifikat??,neutral,negative,False,0.9526181817054749,0.003943011164665222,0.043438784778118134,0.9526181817054749,question_or_request
17,Mantafff,neutral,positive,False,0.9937799572944641,0.9937799572944641,0.0019676825031638145,0.004252439830452204,short_text
18,"Susah sekali untuk mengedit akun.sudah berkali kali edit akun selalu tdk bisa.saya salah memasukkan tanggal lahir saya.. Tolong di perbaiki,dan smpai sekarang susah mengubahnya. Mohon di perhatikan..",neutral,negative,False,0.9919047355651855,0.005149620585143566,0.0029456072952598333,0.9919047355651855,other
